substrate,slug,date,hex,H,S,B,R,G,B,L,a,b,C,M,Y,K,deltaE1,deltaE2,deltaE3,deltaE4,deltaE5,deltaE6,deltaE7,deltaE8,deltaE9,deltaE10
Zostera,1,6/12/2023,9a8e3c,52,61,60,154,142,60,59,-3,44,40,35,94,8,63.51377803,66.3777071,73.54590403,80.31811751,77.94228634,39.23009049,44.05678154,43.22036557,34.78505426,31.11269837
Zostera,2,6/12/2023,7b6c0d,52,89,48,123,108,13,46,-1,49,48,45,100,22,69.20982589,72.11102551,78.97467949,85.53946458,82.66196223,31.89043744,39.12799509,42.73172124,40.6939799,43.10452412
Zostera,3,6/12/2023,74660e,52,88,45,116,102,14,43,-1,46,49,47,100,26,73.25298629,75.80237463,82.1035931,88.33459119,85.19976526,29.44486373,39.50949253,45.65084884,44.69899328,46.38965402
Zostera,4,6/12/2023,7c6b25,48,70,49,124,107,37,46,1,40,46,46,100,23,75.71657678,78.41555968,84.77027781,90.96153033,87.89766777,27.38612788,38.91015292,46.4865572,45.39823785,44.68780594
Zostera,5,6/12/2023,4d4500,54,100,30,77,69,0,29,-2,37,57,54,100,48,88.96066547,90.29950166,94.64142856,99.66443699,95.62949336,26.2488095,45.61797891,58.94064811,61.20457499,61.85466838
Fucus,1,6/12/2023,968624,52,76,59,150,134,36,56,-2,51,41,38,100,11,60.67124525,64.13267498,72.04165462,79.22120928,76.96752562,38.83297568,41.49698784,39.12799509,31.95309062,33.03028913
Fucus,2,6/12/2023,8b8233,54,63,55,139,130,51,54,-4,43,45,38,99,13,67,69.3181073,75.72318007,82.09750301,79.32212806,36.49657518,43.88621651,45.5521679,39,36.26292873
Fucus,3,6/12/2023,585d09,64,90,36,88,93,9,38,-10,42,61,45,100,33,77.5112895,77.93587107,81.74961774,86.72369918,82.75868534,35.22782991,49.52776999,56.5154846,53.42284156,52.74466798
Fucus,4,6/12/2023,ad9c06,54,97,68,173,156,6,64,-3,66,35,31,100,3,45.39823785,50.84289528,61.59545438,70.24243732,69.23871749,52.09606511,47.30750469,34.24908758,20.22374842,28.72281323
Fucus,5,6/12/2023,7a6708,50,93,48,122,103,8,44,1,49,47,48,100,24,71.28814768,74.45804188,81.49233093,88.09653796,85.21150157,29.47880595,37.13488926,42.21374184,41.95235393,45.14421336
Pyropia,1,6/12/2023,908313,54,87,56,144,131,19,55,-3,55,44,38,100,12,58.403767,61.91122677,70,77.31752712,75.11324783,40.71854614,42.3083916,38.48376281,31.06444913,34.19064199
Pyropia,2,6/12/2023,9b8e25,53,76,61,155,142,37,59,-4,54,40,34,100,8,56.00892786,59.48949487,67.72001181,75.13986958,73.11634564,43.28972164,44.31703961,38.94868419,28.89636655,30.21588986
Pyropia,3,6/12/2023,947204,46,97,58,148,114,4,50,7,55,38,48,100,16,65.77233461,70.9083916,80.15609771,87.82368701,85.77295611,31.82766093,31.54362059,32.03123476,33.1662479,39.92492956
Pyropia,4,6/12/2023,796600,51,100,47,121,102,0,44,1,50,47,48,100,25,70.68946173,73.92563831,81.05553652,87.71544904,84.86459804,29.96664813,37.06750599,41.72529209,41.48493703,45.08880127
Pyropia,5,6/12/2023,9d8d2e,51,71,62,157,141,46,59,-2,50,39,36,100,8,59.43904441,63.01587102,71.11961755,78.39642849,76.30203143,40.37325848,42.42640687,39.05124838,30.38091506,30.08321791
Ulva,1,6/12/2023,796713,49,84,47,121,103,19,44,1,46,47,48,100,25,73.13685801,76.11175993,82.86132994,89.2972564,86.31338251,28.17800561,37.49666652,43.78355856,43.46262762,45.44227107
Ulva,2,6/12/2023,7c6500,49,100,49,124,101,0,44,3,50,45,50,100,25,71.36525765,74.97332859,82.44998484,89.25245095,86.4985549,28.46049894,35.07135583,40.31128874,41.14608122,45.22167622
Ulva,3,6/12/2023,7c6807,50,94,49,124,104,7,45,2,49,46,48,100,24,70.8942875,74.31016081,81.61494961,88.34591105,85.5628424,29.13760457,36.12478374,41.01219331,40.91454509,44.20407221
Ulva,4,6/12/2023,635b08,55,92,39,99,91,8,38,-3,43,54,49,100,33,78.26876772,80.04998438,85.30533395,90.95603333,87.38993077,28.7923601,42.55584566,51.12729212,50.83306011,51.82663408
Ulva,5,6/12/2023,735904,46,97,45,115,89,4,40,6,46,45,55,100,31,77.6916984,81.32650245,88.56071364,95.1472543,92.20086767,22.56102835,32.93933818,42.73172124,46.23851209,49.85980345
Zostera,1,6/19/2023,7f722e,50,64,50,127,114,46,48,-1,38,47,44,99,20,75.23961722,77.54353616,83.51047838,89.52094727,86.40601831,29.83286778,41.54515616,48.34252786,45.66180023,43.32435804
Zostera,2,6/19/2023,716318,51,79,44,113,99,24,42,-1,42,50,48,100,28,76.53103945,78.79720807,84.65222974,90.60905032,87.30406634,27.82085549,40.37325848,48.34252786,47.67598976,48.05205511
Zostera,3,6/19/2023,665a06,52,94,40,102,90,6,38,-1,44,52,50,100,33,78.16009212,80.3554603,86.0581199,91.92388155,88.48728722,27.23967694,40.42276586,49.28488612,49.88987873,51.623638
Zostera,4,6/19/2023,93853e,50,58,58,147,133,62,56,-1,40,42,38,91,11,68.8839604,71.70076708,78.52388172,85.02940668,82.42572414,35.0142828,42.26109322,44.77722635,38.94868419,35.11409973
Zostera,5,6/19/2023,534a00,53,100,33,83,74,0,31,-2,39,56,53,100,44,86.22064718,87.71544904,92.33092656,97.53460924,93.62157871,26.32489316,44.32832052,56.62155067,58.49786321,59.44745579
Fucus,1,6/19/2023,837326,50,71,51,131,115,38,49,0,43,45,44,100,19,71.37226352,74.22937424,80.95060222,87.38993077,84.52810184,30.47950131,39.25557285,44.11349,41.44876355,41.01219331
Fucus,2,6/19/2023,888238,55,59,53,136,130,56,54,-5,40,46,37,95,13,68.9710084,70.88723439,76.77239087,82.86132994,79.93747557,36.74234614,45.54119015,48.13522619,41.38840417,37.21558813
Fucus,3,6/19/2023,867724,51,73,53,134,119,36,50,-1,45,45,42,100,17,69.03622238,71.88880302,78.72102642,85.25843067,82.46817568,32.38826948,39.9374511,43.28972164,39.69886648,39.62322551
Fucus,4,6/19/2023,846d0f,48,89,52,132,109,15,47,3,50,44,47,100,21,69.20982589,73.00684899,80.77747211,87.74394566,85.15280383,29.84962311,35.11409973,38.83297568,38.54867053,42.23742416
Fucus,5,6/19/2023,685c14,51,81,41,104,92,20,39,-1,40,52,50,100,32,79.96249121,81.98780397,87.43569065,93.13968005,89.63816152,26.43860813,41.24318125,50.99019514,51.20546846,51.41984053
Pyropia,2,6/19/2023,79671d,48,76,47,121,103,29,44,1,42,47,48,100,25,75.71657678,78.44106068,84.81745103,91.02746838,87.92041856,26.87005769,38.34057903,46.09772229,45.70557953,46.14108798
Pyropia,3,6/19/2023,7f6212,44,86,50,127,98,18,44,6,46,42,53,100,26,74.85986909,78.7273777,86.31917516,93.10746479,90.36038955,24.2693222,32.57299495,40.52159918,42.82522621,45.93473631
Pyropia,4,6/19/2023,887517,50,83,53,136,117,23,50,0,50,44,44,100,17,66.06057826,69.46941773,77.01298592,83.93449827,81.36952747,33.54101966,38.37968212,39.8246155,36.63331817,39.06404997
Pyropia,5,6/19/2023,6b5c0b,51,90,42,107,92,11,40,0,43,51,50,100,32,77.59510294,80.00624976,85.9651092,91.95651146,88.63407922,26.53299832,39.37003937,48.11444689,48.54894438,49.82971001
Ulva,1,6/19/2023,7c640a,47,92,49,124,100,10,44,4,48,45,50,100,25,72.91090453,76.56369897,84.01785525,90.77995373,88.00568163,26.70205985,34.24908758,40.66939882,41.97618372,45.45327271
Ulva,2,6/19/2023,8f7401,49,99,56,143,116,1,50,4,55,41,46,100,17,64.50581369,69.0869018,77.85884664,85.34635317,83.16249155,33.52610923,34.49637662,34.33656943,33.48133809,39.43348831
Ulva,5,6/19/2023,584400,46,100,35,88,68,0,30,4,39,51,58,100,46,88.54942123,90.97801932,96.52978815,102.1567423,98.48857802,20.49390153,39.37003937,53.99073995,58.52349955,60.62177826
Zostera,1,6/26/2023,7c6d2a,49,66,49,124,109,42,46,0,38,47,45,100,22,76.81145748,79.20858539,85.19976526,91.19758769,88.02840451,27.94637722,40.5092582,48.43552415,46.88283268,45.23273151
Zostera,2,6/26/2023,6d5e0d,51,88,43,109,94,13,40,0,44,50,50,100,30,76.96752562,79.43550843,85.48099204,91.5259526,88.23264702,26.85144316,39.1535439,47.5604878,48.02082881,49.65883607
Zostera,3,6/26/2023,625103,49,97,38,98,81,3,35,2,42,51,54,199,38,82.44392033,84.91760713,90.74139078,96.59192513,93.11283478,23.28089345,38.67815921,50.24937811,52.94336597,55
Zostera,4,6/26/2023,7c6e2d,49,64,49,124,110,45,47,-1,37,47,45,99,22,76.59634456,78.79720807,84.59314393,90.49861877,87.30406634,29.22327839,41.83300133,49.36598019,47.04253395,44.59820624
Fucus,1,6/26/2023,87773b,47,56,53,135,119,59,51,0,35,44,43,90,17,75.88148654,78.319857,84.40971508,90.44888059,87.45856162,30.61045573,42.05948169,48.80573737,45.58508528,41.64132563
Fucus,2,6/26/2023,6b641c,55,74,42,107,100,28,42,-4,40,53,46,100,28,77.09734107,78.70196948,83.82720322,89.42594702,85.91274643,30.14962686,43.78355856,51.51698749,49.53786431,48.60041152
Fucus,3,6/26/2023,725e10,49,93,45,114,94,8,41,2,46,48,51,100,30,75.61084578,78.6066155,85.26429499,91.61877537,88.53247992,26.19160171,36.7151195,44.64302857,45.81484476,48.46648326
Fucus,4,6/26/2023,7d6711,48,86,49,125,103,17,45,3,47,45,49,100,24,72.46378406,75.92759709,83.21057625,89.89994438,87.09764635,27.45906044,35.35533906,41.38840417,41.77319715,44.46346815
Pyropia,2,6/26/2023,78661c,48,77,47,120,102,28,44,1,42,47,48,100,26,75.71657678,78.44106068,84.81745103,91.02746838,87.92041856,26.87005769,38.34057903,46.09772229,45.70557953,46.14108798
Pyropia,3,6/26/2023,735c10,46,86,45,115,92,16,40,4,43,46,53,100,30,78.8225856,81.93289938,88.57764955,94.86832981,91.73875953,22.97825059,35.52463934,45.63989483,47.96873982,50.06995107
Pyropia,4,6/26/2023,72670e,53,88,45,114,103,14,44,-3,46,51,46,100,26,71.97916365,74.19568721,80.21221852,86.33655078,83.15046602,31.52776554,41.44876355,46.61544808,44.37341546,45.44227107
Ulva,1,6/26/2023,765f0f,47,87,46,118,95,15,42,4,44,46,52,100,29,76.78541528,80.0624756,86.9655104,93.40770846,90.4046459,24.10394159,35.05709629,43.97726685,45.76024475,47.93745926
Ulva,2,6/26/2023,826807,47,95,51,130,104,7,46,4,50,43,50,100,23,70.28513356,74.20242584,82.04267182,89.02246907,86.42337647,28.65309756,34.07345007,38.60051813,39.26830783,43.33589736
